round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.633709013,0.75,0.446075038,0.666666664,<function linear at 0x000001AA17118048>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.633802652,0.75,0.445163151,0.629629622,<function linear at 0x000001AA17118048>,20,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.634184778,0.75,0.442714334,0.629629612,<function linear at 0x000001AA17118048>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.634578228,0.75,0.445952628,0.629629619,<function linear at 0x000001AA17118048>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.634784102,0.75,0.445255414,0.629629652,<function linear at 0x000001AA17118048>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.634999633,0.75,0.442818299,0.629629622,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.635396302,0.75,0.443576697,0.629629652,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,48
100,0.635582924,0.75,0.444817889,0.629629641,<function linear at 0x000001AA17118048>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.636107564,0.75,0.449267126,0.629629641,<function linear at 0x000001AA17118048>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.636161447,0.75,0.442698032,0.629629612,<function linear at 0x000001AA17118048>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.636255026,0.75,0.442692012,0.629629612,<function linear at 0x000001AA17118048>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.636323333,0.75,0.442700267,0.629629612,<function linear at 0x000001AA17118048>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.636410177,0.75,0.442704439,0.629629612,<function linear at 0x000001AA17118048>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.636452138,0.75,0.442702979,0.629629612,<function linear at 0x000001AA17118048>,30,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.636625707,0.75,0.445148394,0.666666675,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.636652589,0.75,0.442698509,0.629629612,<function linear at 0x000001AA17118048>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.636709213,0.75,0.446398668,0.629629641,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.636861265,0.75,0.442698359,0.629629612,<function linear at 0x000001AA17118048>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,62
100,0.636865675,0.75,0.443814452,0.703703699,<function linear at 0x000001AA17118048>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,62
100,0.636867642,0.75,0.442700207,0.629629612,<function linear at 0x000001AA17118048>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.636914372,0.75,0.44269523,0.629629612,<function linear at 0x000001AA17118048>,30,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.636985302,0.75,0.442693174,0.629629612,<function linear at 0x000001AA17118048>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.637040317,0.75,0.44269231,0.629629612,<function linear at 0x000001AA17118048>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,84
100,0.637129068,0.75,0.442692965,0.629629612,<function linear at 0x000001AA17118048>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.637191057,0.75,0.442700505,0.629629612,<function linear at 0x000001AA17118048>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.637211084,0.75,0.442699373,0.629629612,<function linear at 0x000001AA17118048>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.637331009,0.75,0.442695469,0.629629612,<function linear at 0x000001AA17118048>,30,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.6373353,0.75,0.442688525,0.629629612,<function linear at 0x000001AA17118048>,30,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.637442112,0.75,0.442702264,0.629629612,<function linear at 0x000001AA17118048>,30,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.637495279,0.75,0.44269082,0.629629612,<function linear at 0x000001AA17118048>,30,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
